offenseTeam,3rdDown,3rdDownSuccess,CompletePass,Drive,ExPointBad,ExPointGood,FG_30,FG_40,FG_50,FG_range,FieldGoalBad,FieldGoalGood,FirstDown,IncompletePass,Kicker_Pts,PointsScored,Punt,QB Kneel,RedZone,Touchdown,TwoPointConv,TwoPointGood,Week,Yards.Gained,gameid,3rdDown_rolling3,3rdDownSuccess_rolling3,CompletePass_rolling3,Drive_rolling3,ExPointBad_rolling3,ExPointGood_rolling3,FG_30_rolling3,FG_40_rolling3,FG_50_rolling3,FG_range_rolling3,FieldGoalBad_rolling3,FieldGoalGood_rolling3,FirstDown_rolling3,IncompletePass_rolling3,Kicker_Pts_rolling3,PointsScored_rolling3,Punt_rolling3,QB Kneel_rolling3,RedZone_rolling3,Touchdown_rolling3,TwoPointConv_rolling3,TwoPointGood_rolling3,Week_rolling3,Yards.Gained_rolling3,gameid_rolling3,FG_range_per_drive,RZ_per_drive,DEF_3rdDown,DEF_3rdDownSuccess,DEF_CompletePass,DEF_Drive,DEF_ExPointBad,DEF_ExPointGood,DEF_FG_30,DEF_FG_40,DEF_FG_50,DEF_FG_range,DEF_FieldGoalBad,DEF_FieldGoalGood,DEF_FirstDown,DEF_IncompletePass,DEF_Kicker_Pts,DEF_PointsScored,DEF_Punt,DEF_QB Kneel,DEF_RedZone,DEF_Touchdown,DEF_TwoPointConv,DEF_TwoPointGood,DEF_Yards.Gained,DEF_gameid,DEF_3rdDown_rolling3,DEF_3rdDownSuccess_rolling3,DEF_CompletePass_rolling3,DEF_Drive_rolling3,DEF_ExPointGood_rolling3,DEF_FG_range_rolling3,DEF_FieldGoalGood_rolling3,DEF_FirstDown_rolling3,DEF_IncompletePass_rolling3,DEF_Kicker_Pts_rolling3,DEF_PointsScored_rolling3,DEF_QB Kneel_rolling3,DEF_RedZone_rolling3,DEF_Touchdown_rolling3,DEF_Yards.Gained_rolling3,DEF_gameid_rolling3,DEF_FG_range_per_drive,DEF_RZ_per_drive,offenseTeam,defenseTeam,Season,punts_per_drive,DEF_punts_per_drive,date,mergeCode,mergeCode2,3rdDown_rate,Completion_pct,DEF_Completion_pct,TwoPoint_conv_rate
IND-2009102505,3,0,0,20,0,5,0,0,0,8,0,0,24.0,12,5,35,4,1,6,5,0,0,6,490,2009102505,3,0,0,22,0,4,1,0,0,8,0,1,24,10,8,32,3,0,5,4,0,0,3,497,2009098076,0.36363636363636365,0.22727272727272727,3.0,0.0,0.0,20.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,24.0,12.0,5.0,35.0,4.0,1.0,6.0,5.0,0.0,0.0,490.0,2009102505.0,4.0,0.0,0.0,21.0,2.0,9.0,0.0,24.0,12.0,7.0,26.0,1.0,3.0,3.0,431.0,2009101106.0,0.42857142857142855,0.14285714285714285,IND,STL,2009,0.13636363636363635,0.19047619047619047,10/25,2009-10/25-IND,2009-6-IND,0.0,0.0,0.0,
KC-2009102503,1,1,0,26,0,1,0,1,0,11,1,0,22.0,18,4,13,6,0,3,2,0,0,6,394,2009102503,0,0,0,25,0,1,1,1,0,8,0,2,23,19,10,16,7,0,5,1,0,0,4,390,2009101105,0.32,0.2,1.0,1.0,0.0,26.0,0.0,1.0,0.0,1.0,0.0,11.0,1.0,0.0,22.0,18.0,4.0,13.0,6.0,0.0,3.0,2.0,0.0,0.0,394.0,2009102503.0,2.0,0.0,0.0,20.0,3.0,8.0,1.0,22.0,11.0,9.0,30.0,1.0,2.0,3.0,528.0,2009098341.0,0.4,0.1,KC,SD,2009,0.28,0.15,10/25,2009-10/25-KC,2009-6-KC,,0.0,0.0,
MIA-2009102510,3,1,0,31,0,4,2,0,0,12,0,2,20.0,20,10,46,6,0,6,6,0,0,6,471,2009102510,2,0,0,20,0,3,1,0,0,8,0,1,23,9,7,27,4,0,4,3,0,0,3,472,2009098107,0.4,0.2,3.0,1.0,0.0,31.0,0.0,4.0,2.0,0.0,0.0,12.0,0.0,2.0,20.0,20.0,10.0,46.0,6.0,0.0,6.0,6.0,0.0,0.0,471.0,2009102510.0,1.0,0.0,0.0,24.0,1.0,10.0,1.0,22.0,15.0,5.0,18.0,0.0,6.0,2.0,436.0,2009098307.0,0.4166666666666667,0.25,MIA,NO,2009,0.2,0.25,10/25,2009-10/25-MIA,2009-6-MIA,0.0,0.0,0.0,
MIN-2009102504,3,0,0,23,0,2,1,0,0,12,0,1,29.0,18,5,29,6,1,4,4,0,0,6,625,2009102504,3,0,0,21,0,3,1,0,0,9,0,1,21,8,9,32,4,0,4,4,0,0,4,437,2009101136,0.42857142857142855,0.19047619047619047,3.0,0.0,0.0,23.0,0.0,2.0,1.0,0.0,0.0,12.0,0.0,1.0,29.0,18.0,5.0,29.0,6.0,1.0,4.0,4.0,0.0,0.0,625.0,2009102504.0,2.0,0.0,0.0,20.0,2.0,7.0,0.0,21.0,16.0,5.0,18.0,0.0,3.0,2.0,421.0,2009101106.0,0.35,0.15,MIN,PIT,2009,0.19047619047619047,0.2,10/25,2009-10/25-MIN,2009-6-MIN,0.0,0.0,0.0,
NE-2009102506,3,0,0,27,0,4,0,0,0,9,0,0,27.0,11,4,28,6,2,4,4,0,0,6,516,2009102506,2,0,0,22,0,4,1,0,0,9,0,1,24,11,10,36,3,2,2,4,0,0,4,497,2009101108,0.4090909090909091,0.09090909090909091,3.0,0.0,0.0,27.0,0.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,27.0,11.0,4.0,28.0,6.0,2.0,4.0,4.0,0.0,0.0,516.0,2009102506.0,2.0,0.0,0.0,22.0,3.0,8.0,0.0,20.0,9.0,7.0,27.0,1.0,2.0,3.0,385.0,2009101106.0,0.36363636363636365,0.09090909090909091,NE,TB,2009,0.13636363636363635,0.18181818181818182,10/25,2009-10/25-NE,2009-6-NE,0.0,0.0,0.0,
NO-2009102510,6,2,0,29,1,3,1,2,0,12,1,2,27.0,16,13,39,3,0,6,5,0,0,6,624,2009102510,2,0,0,24,0,3,1,0,0,10,0,1,26,11,6,30,4,2,4,4,0,0,3,486,2009098307,0.4166666666666667,0.16666666666666666,6.0,2.0,0.0,29.0,1.0,3.0,1.0,2.0,0.0,12.0,1.0,2.0,27.0,16.0,13.0,39.0,3.0,0.0,6.0,5.0,0.0,0.0,624.0,2009102510.0,1.0,0.0,0.0,20.0,1.0,8.0,2.0,20.0,14.0,10.0,21.0,0.0,3.0,2.0,420.0,2009098107.0,0.4,0.15,NO,MIA,2009,0.16666666666666666,0.15,10/25,2009-10/25-NO,2009-6-NO,0.0,0.0,0.0,
NYG-2009102511,3,2,0,29,0,2,1,0,0,13,0,1,22.0,20,5,17,7,1,9,2,0,0,6,385,2009102511,3,1,0,24,0,3,2,0,0,8,0,2,23,14,12,32,3,0,3,3,0,0,4,528,2009101104,0.3333333333333333,0.125,3.0,2.0,0.0,29.0,0.0,2.0,1.0,0.0,0.0,13.0,0.0,1.0,22.0,20.0,5.0,17.0,7.0,1.0,9.0,2.0,0.0,0.0,385.0,2009102511.0,2.0,0.0,0.0,24.0,2.0,11.0,0.0,23.0,15.0,6.0,20.0,0.0,8.0,2.0,452.0,2009098544.0,0.4583333333333333,0.3333333333333333,NYG,ARI,2009,0.125,0.20833333333333334,10/25,2009-10/25-NYG,2009-6-NYG,0.3333333333333333,0.0,0.0,
NYJ-2009102508,5,1,0,22,0,5,2,0,0,9,1,1,20.0,8,10,38,3,1,4,5,0,0,6,467,2009102508,2,0,0,23,0,1,0,1,0,10,0,1,24,16,8,22,5,0,7,2,0,0,4,409,2009101140,0.43478260869565216,0.30434782608695654,5.0,1.0,0.0,22.0,0.0,5.0,2.0,0.0,0.0,9.0,1.0,1.0,20.0,8.0,10.0,38.0,3.0,1.0,4.0,5.0,0.0,0.0,467.0,2009102508.0,2.0,0.0,0.0,27.0,2.0,10.0,2.0,24.0,15.0,14.0,26.0,1.0,4.0,2.0,433.0,2009101105.0,0.37037037037037035,0.14814814814814814,NYJ,OAK,2009,0.21739130434782608,0.2222222222222222,10/25,2009-10/25-NYJ,2009-6-NYJ,0.0,0.0,0.0,
OAK-2009102508,3,0,0,21,0,0,0,0,0,10,0,0,23.0,14,0,0,5,0,8,0,0,0,6,349,2009102508,1,1,0,27,0,0,0,0,0,13,0,1,20,13,5,8,7,1,6,0,0,0,4,347,2009101105,0.48148148148148145,0.2222222222222222,3.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,23.0,14.0,0.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,349.0,2009102508.0,2.0,0.0,0.0,24.0,2.0,9.0,1.0,25.0,12.0,8.0,19.0,0.0,4.0,2.0,466.0,2009101140.0,0.375,0.16666666666666666,OAK,NYJ,2009,0.25925925925925924,0.20833333333333334,10/25,2009-10/25-OAK,2009-6-OAK,1.0,0.0,0.0,
PHI-2009102600,2,2,0,26,0,2,0,2,0,8,0,2,21.0,10,10,20,8,4,6,2,0,0,6,337,2009102600,1,0,0,25,0,3,0,2,0,9,0,2,20,14,12,25,5,1,3,2,0,0,3,420,2009098540,0.36,0.12,2.0,2.0,0.0,26.0,0.0,2.0,0.0,2.0,0.0,8.0,0.0,2.0,21.0,10.0,10.0,20.0,8.0,4.0,6.0,2.0,0.0,0.0,337.0,2009102600.0,1.0,1.0,0.0,23.0,0.0,8.0,2.0,21.0,11.0,10.0,14.0,1.0,3.0,1.0,352.0,2009101105.0,0.34782608695652173,0.13043478260869565,PHI,WAS,2009,0.2,0.21739130434782608,10/26,2009-10/26-PHI,2009-6-PHI,0.0,0.0,0.0,
PIT-2009102504,2,0,0,21,0,1,2,0,0,8,0,2,18.0,11,7,13,6,0,1,1,0,0,6,379,2009102504,2,0,0,21,0,4,0,0,0,9,0,1,23,10,7,35,2,2,4,4,0,0,4,582,2009101106,0.42857142857142855,0.19047619047619047,2.0,0.0,0.0,21.0,0.0,1.0,2.0,0.0,0.0,8.0,0.0,2.0,18.0,11.0,7.0,13.0,6.0,0.0,1.0,1.0,0.0,0.0,379.0,2009102504.0,2.0,0.0,0.0,21.0,2.0,9.0,1.0,25.0,12.0,6.0,23.0,0.0,6.0,3.0,601.0,2009101136.0,0.42857142857142855,0.2857142857142857,PIT,MIN,2009,0.09523809523809523,0.19047619047619047,10/25,2009-10/25-PIT,2009-6-PIT,0.0,0.0,0.0,
SD-2009102503,5,1,0,27,0,3,3,1,0,9,1,3,19.0,13,15,30,4,3,6,3,0,0,6,462,2009102503,1,0,0,19,0,1,1,1,0,8,0,2,21,15,12,21,3,0,3,2,0,0,3,472,2009098341,0.42105263157894735,0.15789473684210525,5.0,1.0,0.0,27.0,0.0,3.0,3.0,1.0,0.0,9.0,1.0,3.0,19.0,13.0,15.0,30.0,4.0,3.0,6.0,3.0,0.0,0.0,462.0,2009102503.0,2.0,1.0,0.0,25.0,1.0,10.0,2.0,22.0,14.0,10.0,19.0,0.0,4.0,2.0,504.0,2009101105.0,0.4,0.16,SD,KC,2009,0.15789473684210525,0.2,10/25,2009-10/25-SD,2009-6-SD,0.0,0.0,0.0,
SF-2009102502,2,0,0,21,0,3,0,0,0,10,0,0,25.0,12,3,21,5,0,7,3,0,0,6,585,2009102502,1,0,0,26,0,1,0,0,0,10,0,0,19,15,5,15,7,0,4,2,0,0,3,357,2009098074,0.38461538461538464,0.15384615384615385,2.0,0.0,0.0,21.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,25.0,12.0,3.0,21.0,5.0,0.0,7.0,3.0,0.0,0.0,585.0,2009102502.0,1.0,0.0,0.0,26.0,1.0,12.0,1.0,21.0,16.0,7.0,14.0,0.0,5.0,1.0,440.0,2009101103.0,0.46153846153846156,0.19230769230769232,SF,HOU,2009,0.2692307692307692,0.2692307692307692,10/25,2009-10/25-SF,2009-6-SF,0.0,0.0,0.0,
STL-2009102505,1,1,0,21,0,0,1,1,0,10,0,2,21.0,13,7,12,5,0,3,1,0,0,6,501,2009102505,2,0,0,21,0,0,0,0,0,10,0,1,23,11,5,13,5,0,6,1,0,0,4,441,2009101106,0.47619047619047616,0.2857142857142857,1.0,1.0,0.0,21.0,0.0,0.0,1.0,1.0,0.0,10.0,0.0,2.0,21.0,13.0,7.0,12.0,5.0,0.0,3.0,1.0,0.0,0.0,501.0,2009102505.0,3.0,0.0,0.0,22.0,1.0,10.0,1.0,23.0,18.0,7.0,12.0,0.0,4.0,1.0,400.0,2009098076.0,0.45454545454545453,0.18181818181818182,STL,IND,2009,0.23809523809523808,0.22727272727272727,10/25,2009-10/25-STL,2009-6-STL,0.0,0.0,0.0,
TB-2009102506,3,2,0,26,0,1,0,0,0,12,0,0,19.0,20,1,13,9,0,8,2,0,0,6,344,2009102506,2,1,0,22,0,1,0,1,0,9,1,0,21,14,6,15,4,0,5,2,0,0,4,418,2009101106,0.4090909090909091,0.22727272727272727,3.0,2.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,19.0,20.0,1.0,13.0,9.0,0.0,8.0,2.0,0.0,0.0,344.0,2009102506.0,2.0,0.0,0.0,23.0,1.0,10.0,0.0,25.0,16.0,4.0,11.0,0.0,5.0,1.0,461.0,2009101108.0,0.43478260869565216,0.21739130434782608,TB,NE,2009,0.18181818181818182,0.17391304347826086,10/25,2009-10/25-TB,2009-6-TB,0.5,0.0,0.0,
WAS-2009102600,3,1,0,25,0,2,0,1,0,10,0,1,26.0,16,6,23,7,0,6,3,0,0,6,511,2009102600,1,0,0,23,0,1,0,0,0,9,0,1,18,10,5,13,5,1,4,1,0,0,4,333,2009101105,0.391304347826087,0.17391304347826086,3.0,1.0,0.0,25.0,0.0,2.0,0.0,1.0,0.0,10.0,0.0,1.0,26.0,16.0,6.0,23.0,7.0,0.0,6.0,3.0,0.0,0.0,511.0,2009102600.0,1.0,0.0,0.0,24.0,1.0,11.0,0.0,22.0,14.0,4.0,15.0,1.0,6.0,2.0,411.0,2009098540.0,0.4583333333333333,0.25,WAS,PHI,2009,0.21739130434782608,0.25,10/26,2009-10/26-WAS,2009-6-WAS,0.0,0.0,0.0,
ARI-2009110110,2,0,0,25,0,3,0,0,0,12,0,0,30.0,19,3,27,4,0,8,4,0,0,7,545,2009110110,2,0,0,26,0,3,1,0,0,9,0,1,23,13,6,24,7,1,5,3,0,0,5,451,2009101809,0.34615384615384615,0.19230769230769232,2.0,0.0,0.0,25.0,0.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,30.0,19.0,3.0,27.0,4.0,0.0,8.0,4.0,0.0,0.0,545.0,2009110110.0,0.0,0.0,0.0,23.0,2.0,9.0,1.0,17.0,8.0,6.0,17.0,1.0,4.0,2.0,314.0,2009101805.0,0.391304347826087,0.17391304347826086,ARI,CAR,2009,0.2692307692307692,0.21739130434782608,11/01,2009-11/01-ARI,2009-7-ARI,0.0,0.0,0.0,
ATL-2009110200,2,0,0,24,0,2,2,1,1,10,2,2,25.0,23,15,32,3,0,1,4,0,0,7,614,2009110200,3,0,0,23,0,4,0,0,0,9,0,0,24,14,5,33,4,1,5,4,0,0,5,482,2009101809,0.391304347826087,0.21739130434782608,2.0,0.0,0.0,24.0,0.0,2.0,2.0,1.0,1.0,10.0,2.0,2.0,25.0,23.0,15.0,32.0,3.0,0.0,1.0,4.0,0.0,0.0,614.0,2009110200.0,2.0,0.0,0.0,26.0,2.0,10.0,1.0,20.0,17.0,8.0,31.0,0.0,6.0,4.0,461.0,2009101574.0,0.38461538461538464,0.23076923076923078,ATL,NO,2009,0.17391304347826086,0.19230769230769232,11/02,2009-11/02-ATL,2009-7-ATL,0.0,0.0,0.0,
BAL-2009110100,2,0,0,21,0,3,2,1,0,7,0,3,19.0,5,13,30,4,1,3,3,0,0,7,418,2009110100,2,0,0,21,0,2,0,0,0,9,0,0,23,14,4,19,5,0,5,2,0,0,4,513,2009101103,0.42857142857142855,0.23809523809523808,2.0,0.0,0.0,21.0,0.0,3.0,2.0,1.0,0.0,7.0,0.0,3.0,19.0,5.0,13.0,30.0,4.0,1.0,3.0,3.0,0.0,0.0,418.0,2009110100.0,2.0,0.0,0.0,21.0,1.0,10.0,1.0,23.0,16.0,12.0,16.0,0.0,4.0,1.0,468.0,2009101140.0,0.47619047619047616,0.19047619047619047,BAL,DEN,2009,0.23809523809523808,0.19047619047619047,11/01,2009-11/01-BAL,2009-7-BAL,0.0,0.0,0.0,
BUF-2009110101,0,0,0,22,0,1,1,0,0,8,0,1,14.0,8,4,10,6,0,3,1,0,0,7,492,2009110101,1,0,0,27,0,1,1,0,0,10,0,2,23,15,8,13,7,1,4,1,0,0,5,331,2009101806,0.37037037037037035,0.14814814814814814,0.0,0.0,0.0,22.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,1.0,14.0,8.0,4.0,10.0,6.0,0.0,3.0,1.0,0.0,0.0,492.0,2009110101.0,2.0,0.0,0.0,23.0,2.0,11.0,0.0,22.0,13.0,5.0,19.0,0.0,6.0,2.0,524.0,2009101803.0,0.4782608695652174,0.2608695652173913,BUF,HOU,2009,0.25925925925925924,0.2608695652173913,11/01,2009-11/01-BUF,2009-7-BUF,0.0,0.0,0.0,
CAR-2009110110,2,0,0,26,0,3,2,0,0,10,0,2,16.0,8,9,27,6,1,3,3,0,0,7,448,2009110110,2,0,0,23,0,2,0,0,0,10,0,0,23,11,6,19,4,0,5,2,0,0,5,414,2009101805,0.43478260869565216,0.21739130434782608,2.0,0.0,0.0,26.0,0.0,3.0,2.0,0.0,0.0,10.0,0.0,2.0,16.0,8.0,9.0,27.0,6.0,1.0,3.0,3.0,0.0,0.0,448.0,2009110110.0,2.0,1.0,0.0,26.0,1.0,12.0,0.0,22.0,18.0,4.0,15.0,0.0,8.0,2.0,392.0,2009101809.0,0.46153846153846156,0.3076923076923077,CAR,ARI,2009,0.17391304347826086,0.23076923076923078,11/01,2009-11/01-CAR,2009-7-CAR,0.0,0.0,0.0,
