offenseTeam,3rdDown,3rdDownSuccess,Drive,FirstDown,Kicker_Pts,TwoPointConv,Week,gameid,3rdDown_rolling5,3rdDownSuccess_rolling5,CompletePass_rolling5,Drive_rolling5,ExPointBad_rolling5,ExPointGood_rolling5,FG_30_rolling5,FG_40_rolling5,FG_50_rolling5,FG_range_rolling5,FieldGoalBad_rolling5,FieldGoalGood_rolling5,FirstDown_rolling5,IncompletePass_rolling5,Kicker_Pts_rolling5,PointsScored_rolling5,Punt_rolling5,QB Kneel_rolling5,RedZone_rolling5,Touchdown_rolling5,TwoPointConv_rolling5,TwoPointGood_rolling5,Yards.Gained_rolling5,FG_range_per_drive,RZ_per_drive,DEF_3rdDownSuccess,DEF_FirstDown,DEF_Yards.Gained,DEF_3rdDown_rolling5,DEF_3rdDownSuccess_rolling5,DEF_CompletePass_rolling5,DEF_Drive_rolling5,DEF_ExPointGood_rolling5,DEF_FG_range_rolling5,DEF_FieldGoalGood_rolling5,DEF_FirstDown_rolling5,DEF_IncompletePass_rolling5,DEF_Kicker_Pts_rolling5,DEF_PointsScored_rolling5,DEF_RedZone_rolling5,DEF_Touchdown_rolling5,DEF_Yards.Gained_rolling5,DEF_FG_range_per_drive,DEF_RZ_per_drive,offenseTeam,defenseTeam,Season,punts_per_drive,DEF_punts_per_drive,date,mergeCode,mergeCode2,3rdDown_rate,Completion_pct,DEF_Completion_pct,TwoPoint_conv_rate
IND-2009102505,3,0,20,24.0,5,0,6,2009102505,2,0,0,20,0,4,1,0,0,8,0,1,22,10,8,31,3,0,5,4,0,0,490,0.4,0.25,0.0,24.0,490.0,3.0,0.0,0.0,22.0,3.0,8.0,1.0,23.0,11.0,8.0,30.0,4.0,4.0,454.0,0.36363636363636365,0.18181818181818182,IND,STL,2009,0.15,0.18181818181818182,10/25,2009-10/25-IND,2009-6-IND,0.0,0.0,0.0,
KC-2009102503,1,1,26,22.0,4,0,6,2009102503,0,0,0,25,0,1,0,0,0,9,0,1,22,16,7,15,7,0,5,1,0,0,380,0.36,0.2,1.0,22.0,394.0,2.0,0.0,0.0,21.0,2.0,8.0,1.0,21.0,12.0,8.0,26.0,2.0,3.0,488.0,0.38095238095238093,0.09523809523809523,KC,SD,2009,0.28,0.19047619047619047,10/25,2009-10/25-KC,2009-6-KC,,0.0,0.0,
MIA-2009102510,3,1,31,20.0,10,0,6,2009102510,2,0,0,21,0,3,1,0,0,8,0,1,23,11,9,30,4,0,4,3,0,0,479,0.38095238095238093,0.19047619047619047,1.0,20.0,471.0,2.0,0.0,0.0,26.0,2.0,11.0,1.0,22.0,17.0,6.0,25.0,6.0,3.0,485.0,0.4230769230769231,0.23076923076923078,MIA,NO,2009,0.19047619047619047,0.23076923076923078,10/25,2009-10/25-MIA,2009-6-MIA,0.0,0.0,0.0,
MIN-2009102504,3,0,23,29.0,5,0,6,2009102504,3,0,0,22,0,3,0,0,0,10,0,1,23,13,9,32,4,0,4,4,0,0,502,0.45454545454545453,0.18181818181818182,0.0,29.0,625.0,2.0,0.0,0.0,20.0,1.0,8.0,0.0,23.0,17.0,5.0,20.0,3.0,2.0,456.0,0.4,0.15,MIN,PIT,2009,0.18181818181818182,0.25,10/25,2009-10/25-MIN,2009-6-MIN,0.0,0.0,0.0,
NE-2009102506,3,0,27,27.0,4,0,6,2009102506,2,0,0,22,0,3,1,0,0,8,0,1,25,13,10,32,3,2,3,4,0,0,506,0.36363636363636365,0.13636363636363635,0.0,27.0,516.0,3.0,0.0,0.0,23.0,3.0,8.0,0.0,23.0,9.0,6.0,26.0,2.0,3.0,426.0,0.34782608695652173,0.08695652173913043,NE,TB,2009,0.13636363636363635,0.17391304347826086,10/25,2009-10/25-NE,2009-6-NE,0.0,0.0,0.0,
NO-2009102510,6,2,29,27.0,13,0,6,2009102510,3,0,0,25,0,3,1,0,0,9,0,1,25,11,8,34,4,1,4,4,0,0,520,0.36,0.16,2.0,27.0,624.0,2.0,0.0,0.0,20.0,2.0,8.0,2.0,20.0,13.0,11.0,26.0,4.0,3.0,471.0,0.4,0.2,NO,MIA,2009,0.16,0.15,10/25,2009-10/25-NO,2009-6-NO,0.0,0.0,0.0,
NYG-2009102511,3,2,29,22.0,5,0,6,2009102511,3,1,0,24,0,3,1,0,0,9,0,1,24,15,9,27,4,0,4,3,0,0,485,0.375,0.16666666666666666,2.0,22.0,385.0,2.0,0.0,0.0,25.0,2.0,11.0,0.0,23.0,17.0,6.0,20.0,7.0,2.0,456.0,0.44,0.28,NYG,ARI,2009,0.16666666666666666,0.2,10/25,2009-10/25-NYG,2009-6-NYG,0.3333333333333333,0.0,0.0,
NYJ-2009102508,5,1,22,20.0,10,0,6,2009102508,3,0,0,25,0,2,1,0,0,9,0,1,23,14,8,26,5,0,5,3,0,0,414,0.36,0.2,1.0,20.0,467.0,2.0,0.0,0.0,24.0,3.0,8.0,2.0,23.0,12.0,13.0,28.0,4.0,3.0,434.0,0.3333333333333333,0.16666666666666666,NYJ,OAK,2009,0.2,0.16666666666666666,10/25,2009-10/25-NYJ,2009-6-NYJ,0.0,0.0,0.0,
OAK-2009102508,3,0,21,23.0,0,0,6,2009102508,1,0,0,24,0,0,0,0,0,11,0,1,20,12,4,5,6,0,7,0,0,0,329,0.4583333333333333,0.2916666666666667,0.0,23.0,349.0,2.0,0.0,0.0,24.0,1.0,10.0,1.0,24.0,14.0,6.0,14.0,4.0,1.0,434.0,0.4166666666666667,0.16666666666666666,OAK,NYJ,2009,0.25,0.20833333333333334,10/25,2009-10/25-OAK,2009-6-OAK,0.0,0.0,0.0,
PHI-2009102600,2,2,26,21.0,10,0,6,2009102600,1,0,0,25,0,2,0,1,0,9,0,2,21,15,11,24,5,1,4,2,0,0,449,0.36,0.16,2.0,21.0,337.0,1.0,1.0,0.0,23.0,1.0,8.0,2.0,22.0,12.0,9.0,16.0,4.0,1.0,357.0,0.34782608695652173,0.17391304347826086,PHI,WAS,2009,0.2,0.2608695652173913,10/26,2009-10/26-PHI,2009-6-PHI,0.0,0.0,0.0,
