offenseTeam,3rdDown,3rdDownSuccess,CompletePass,Drive,ExPointBad,ExPointGood,FG_30,FG_40,FG_50,FG_range,FieldGoalBad,FieldGoalGood,FirstDown,IncompletePass,Kicker_Pts,PointsScored,Punt,QB Kneel,RedZone,Touchdown,TwoPointConv,TwoPointGood,Week,Yards.Gained,gameid,3rdDown_rolling3,3rdDownSuccess_rolling3,CompletePass_rolling3,Drive_rolling3,ExPointBad_rolling3,ExPointGood_rolling3,FG_30_rolling3,FG_40_rolling3,FG_50_rolling3,FG_range_rolling3,FieldGoalBad_rolling3,FieldGoalGood_rolling3,FirstDown_rolling3,IncompletePass_rolling3,Kicker_Pts_rolling3,PointsScored_rolling3,Punt_rolling3,QB Kneel_rolling3,RedZone_rolling3,Touchdown_rolling3,TwoPointConv_rolling3,TwoPointGood_rolling3,Week_rolling3,Yards.Gained_rolling3,gameid_rolling3,FG_range_per_drive,RZ_per_drive,DEF_3rdDownSuccess,DEF_FirstDown,DEF_Yards.Gained,DEF_3rdDown_rolling3,DEF_3rdDownSuccess_rolling3,DEF_CompletePass_rolling3,DEF_Drive_rolling3,DEF_ExPointGood_rolling3,DEF_FG_range_rolling3,DEF_FieldGoalGood_rolling3,DEF_FirstDown_rolling3,DEF_IncompletePass_rolling3,DEF_Kicker_Pts_rolling3,DEF_PointsScored_rolling3,DEF_RedZone_rolling3,DEF_Touchdown_rolling3,DEF_Yards.Gained_rolling3,DEF_FG_range_per_drive,DEF_RZ_per_drive,offenseTeam,defenseTeam,Season,punts_per_drive,DEF_punts_per_drive,date,mergeCode,mergeCode2,3rdDown_rate,Completion_pct,DEF_Completion_pct,TwoPoint_conv_rate
IND-2009102505,3,0,0,20,0,5,0,0,0,8,0,0,24.0,12,5,35,4,1,6,5,0,0,6,490,2009102505,3,0,0,20,0,4,1,0,0,8,0,1,24,10,7,33,3,0,5,4,0,0,4,472,2009101340,0.4,0.25,0.0,24.0,490.0,4.0,0.0,0.0,20.0,3.0,9.0,0.0,26.0,12.0,7.0,31.0,5.0,4.0,503.0,0.45,0.25,IND,STL,2009,0.15,0.15,10/25,2009-10/25-IND,2009-6-IND,0.0,0.0,0.0,
KC-2009102503,1,1,0,26,0,1,0,1,0,11,1,0,22.0,18,4,13,6,0,3,2,0,0,6,394,2009102503,0,0,0,25,0,1,1,1,0,9,0,2,24,19,10,15,7,0,4,1,0,0,5,404,2009101804,0.36,0.16,1.0,22.0,394.0,2.0,1.0,0.0,22.0,3.0,9.0,1.0,21.0,13.0,8.0,28.0,2.0,3.0,524.0,0.4090909090909091,0.09090909090909091,KC,SD,2009,0.28,0.18181818181818182,10/25,2009-10/25-KC,2009-6-KC,,0.0,0.0,
MIA-2009102510,3,1,0,31,0,4,2,0,0,12,0,2,20.0,20,10,46,6,0,6,6,0,0,6,471,2009102510,2,0,0,24,0,4,1,0,0,9,0,1,22,12,8,36,5,0,4,4,0,0,4,494,2009101372,0.375,0.16666666666666666,1.0,20.0,471.0,2.0,0.0,0.0,26.0,2.0,10.0,1.0,20.0,17.0,8.0,31.0,6.0,4.0,461.0,0.38461538461538464,0.23076923076923078,MIA,NO,2009,0.20833333333333334,0.19230769230769232,10/25,2009-10/25-MIA,2009-6-MIA,0.0,0.0,0.0,
MIN-2009102504,3,0,0,23,0,2,1,0,0,12,0,1,29.0,18,5,29,6,1,4,4,0,0,6,625,2009102504,3,0,0,22,0,3,1,0,0,10,0,2,23,11,9,31,4,0,4,3,0,0,5,517,2009101804,0.45454545454545453,0.18181818181818182,0.0,29.0,625.0,3.0,0.0,0.0,21.0,1.0,9.0,1.0,24.0,17.0,6.0,18.0,3.0,2.0,482.0,0.42857142857142855,0.14285714285714285,MIN,PIT,2009,0.18181818181818182,0.19047619047619047,10/25,2009-10/25-MIN,2009-6-MIN,0.0,0.0,0.0,
NE-2009102506,3,0,0,27,0,4,0,0,0,9,0,0,27.0,11,4,28,6,2,4,4,0,0,6,516,2009102506,2,0,0,25,0,4,0,0,0,9,0,0,25,11,9,34,4,2,2,4,0,0,5,525,2009101808,0.36,0.08,0.0,27.0,516.0,2.0,0.0,0.0,23.0,4.0,8.0,0.0,21.0,9.0,7.0,31.0,3.0,4.0,442.0,0.34782608695652173,0.13043478260869565,NE,TB,2009,0.16,0.17391304347826086,10/25,2009-10/25-NE,2009-6-NE,0.0,0.0,0.0,
NO-2009102510,6,2,0,29,1,3,1,2,0,12,1,2,27.0,16,13,39,3,0,6,5,0,0,6,624,2009102510,3,0,0,25,0,3,0,0,0,10,0,1,26,12,7,34,4,0,4,4,0,0,4,559,2009101574,0.4,0.16,2.0,27.0,624.0,3.0,1.0,0.0,23.0,2.0,9.0,1.0,22.0,14.0,10.0,29.0,5.0,3.0,487.0,0.391304347826087,0.21739130434782608,NO,MIA,2009,0.16,0.17391304347826086,10/25,2009-10/25-NO,2009-6-NO,0.0,0.0,0.0,
NYG-2009102511,3,2,0,29,0,2,1,0,0,13,0,1,22.0,20,5,17,7,1,9,2,0,0,6,385,2009102511,2,1,0,25,0,3,1,0,0,10,0,2,22,16,9,29,4,0,5,3,0,0,5,504,2009101806,0.4,0.2,2.0,22.0,385.0,2.0,1.0,0.0,26.0,1.0,12.0,0.0,22.0,18.0,4.0,15.0,8.0,2.0,392.0,0.46153846153846156,0.3076923076923077,NYG,ARI,2009,0.16,0.23076923076923078,10/25,2009-10/25-NYG,2009-6-NYG,0.5,0.0,0.0,
NYJ-2009102508,5,1,0,22,0,5,2,0,0,9,1,1,20.0,8,10,38,3,1,4,5,0,0,6,467,2009102508,3,0,0,23,0,3,1,1,0,10,0,1,24,14,10,28,4,0,5,3,0,0,5,470,2009101839,0.43478260869565216,0.21739130434782608,1.0,20.0,467.0,3.0,0.0,0.0,24.0,3.0,9.0,2.0,23.0,13.0,14.0,30.0,4.0,3.0,436.0,0.375,0.16666666666666666,NYJ,OAK,2009,0.17391304347826086,0.16666666666666666,10/25,2009-10/25-NYJ,2009-6-NYJ,0.0,0.0,0.0,
OAK-2009102508,3,0,0,21,0,0,0,0,0,10,0,0,23.0,14,0,0,5,0,8,0,0,0,6,349,2009102508,2,0,0,24,0,0,0,0,0,12,0,0,21,10,3,6,6,1,7,0,0,0,5,352,2009101807,0.5,0.2916666666666667,0.0,23.0,349.0,3.0,0.0,0.0,23.0,1.0,9.0,1.0,24.0,13.0,7.0,15.0,5.0,1.0,454.0,0.391304347826087,0.21739130434782608,OAK,NYJ,2009,0.25,0.21739130434782608,10/25,2009-10/25-OAK,2009-6-OAK,0.0,0.0,0.0,
PHI-2009102600,2,2,0,26,0,2,0,2,0,8,0,2,21.0,10,10,20,8,4,6,2,0,0,6,337,2009102600,1,0,0,25,0,2,0,2,0,9,0,2,20,14,12,20,7,2,5,2,0,0,5,364,2009101838,0.36,0.2,2.0,21.0,337.0,1.0,1.0,0.0,24.0,1.0,8.0,2.0,21.0,11.0,9.0,16.0,4.0,1.0,357.0,0.3333333333333333,0.16666666666666666,PHI,WAS,2009,0.28,0.25,10/26,2009-10/26-PHI,2009-6-PHI,0.0,0.0,0.0,
PIT-2009102504,2,0,0,21,0,1,2,0,0,8,0,2,18.0,11,7,13,6,0,1,1,0,0,6,379,2009102504,2,0,0,21,0,2,1,0,0,9,0,1,21,10,6,26,4,2,3,3,0,0,5,510,2009101804,0.42857142857142855,0.14285714285714285,0.0,18.0,379.0,2.0,0.0,0.0,22.0,2.0,9.0,1.0,24.0,12.0,7.0,22.0,5.0,2.0,529.0,0.4090909090909091,0.22727272727272727,PIT,MIN,2009,0.19047619047619047,0.22727272727272727,10/25,2009-10/25-PIT,2009-6-PIT,0.0,0.0,0.0,
SD-2009102503,5,1,0,27,0,3,3,1,0,9,1,3,19.0,13,15,30,4,3,6,3,0,0,6,462,2009102503,2,0,0,22,0,2,1,1,0,9,0,2,20,14,13,26,4,1,4,3,0,0,4,485,2009101605,0.4090909090909091,0.18181818181818182,1.0,19.0,462.0,2.0,0.0,0.0,25.0,1.0,10.0,2.0,19.0,13.0,11.0,20.0,5.0,2.0,506.0,0.4,0.2,SD,KC,2009,0.18181818181818182,0.2,10/25,2009-10/25-SD,2009-6-SD,0.0,0.0,0.0,
SF-2009102502,2,0,0,21,0,3,0,0,0,10,0,0,25.0,12,3,21,5,0,7,3,0,0,6,585,2009102502,2,0,0,23,0,2,0,0,0,9,0,0,21,16,5,17,5,0,4,2,0,0,4,420,2009101340,0.391304347826087,0.17391304347826086,0.0,25.0,585.0,2.0,0.0,0.0,23.0,2.0,11.0,0.0,22.0,13.0,5.0,19.0,6.0,2.0,524.0,0.4782608695652174,0.2608695652173913,SF,HOU,2009,0.21739130434782608,0.2608695652173913,10/25,2009-10/25-SF,2009-6-SF,0.0,0.0,0.0,
