offenseTeam,3rdDown,3rdDownSuccess,CompletePass,Drive,ExPointBad,ExPointGood,FG_30,FG_40,FG_50,FG_range,FieldGoalBad,FieldGoalGood,FirstDown,IncompletePass,Kicker_Pts,PointsScored,Punt,QB Kneel,RedZone,Touchdown,TwoPointConv,TwoPointGood,Week,Yards.Gained,gameid,3rdDown_rolling3,3rdDownSuccess_rolling3,CompletePass_rolling3,Drive_rolling3,ExPointBad_rolling3,ExPointGood_rolling3,FG_30_rolling3,FG_40_rolling3,FG_50_rolling3,FG_range_rolling3,FieldGoalBad_rolling3,FieldGoalGood_rolling3,FirstDown_rolling3,IncompletePass_rolling3,Kicker_Pts_rolling3,PointsScored_rolling3,Punt_rolling3,QB Kneel_rolling3,RedZone_rolling3,Touchdown_rolling3,TwoPointConv_rolling3,TwoPointGood_rolling3,Week_rolling3,Yards.Gained_rolling3,gameid_rolling3,FG_range_per_drive,RZ_per_drive,DEF_3rdDownSuccess,DEF_FirstDown,DEF_Yards.Gained,DEF_3rdDown_rolling3,DEF_3rdDownSuccess_rolling3,DEF_CompletePass_rolling3,DEF_Drive_rolling3,DEF_ExPointGood_rolling3,DEF_FG_range_rolling3,DEF_FieldGoalGood_rolling3,DEF_FirstDown_rolling3,DEF_IncompletePass_rolling3,DEF_Kicker_Pts_rolling3,DEF_PointsScored_rolling3,DEF_RedZone_rolling3,DEF_Touchdown_rolling3,DEF_Yards.Gained_rolling3,DEF_FG_range_per_drive,DEF_RZ_per_drive,offenseTeam,defenseTeam,Season,punts_per_drive,DEF_punts_per_drive,date,mergeCode,mergeCode2,3rdDown_rate,Completion_pct,DEF_Completion_pct,TwoPoint_conv_rate
CLE-2010110702,2,0,0,20,0,4,2,0,0,9,0,2,21.0,5,10,34,3,0,3,4,0,0,8,465,2010110702,2,0,0,20,0,2,1,0,0,8,0,2,19,7,8,20,4,1,3,2,0,0,6,389,2010104936,0.4,0.15,0.0,21.0,465.0,3.0,0.0,0.0,20.0,2.0,9.0,1.0,26.0,11.0,10.0,24.0,3.0,2.0,505.0,0.45,0.15,CLE,NE,2010,0.2,0.15,11/07,2010-11/07-CLE,2010-8-CLE,0.0,0.0,0.0,
DAL-2010110711,3,0,0,21,0,1,0,0,0,10,0,0,17.0,11,1,19,6,0,3,3,0,0,8,392,2010110711,2,0,0,25,0,1,0,0,0,10,0,1,21,16,5,21,5,0,5,2,0,0,7,442,2010105437,0.4,0.2,0.0,17.0,392.0,3.0,0.0,0.0,22.0,1.0,10.0,0.0,23.0,16.0,3.0,22.0,4.0,3.0,495.0,0.45454545454545453,0.18181818181818182,DAL,GB,2010,0.2,0.18181818181818182,11/07,2010-11/07-DAL,2010-8-DAL,0.0,0.0,0.0,
DET-2010110700,3,0,0,25,1,2,0,0,0,12,0,1,28.0,20,2,23,9,0,7,3,0,0,8,530,2010110700,3,0,0,26,0,2,0,0,0,9,0,1,25,20,9,24,7,0,6,3,0,0,6,522,2010105169,0.34615384615384615,0.23076923076923078,0.0,28.0,530.0,2.0,0.0,0.0,25.0,1.0,11.0,2.0,26.0,21.0,10.0,17.0,5.0,1.0,382.0,0.44,0.2,DET,NYJ,2010,0.2692307692307692,0.28,11/07,2010-11/07-DET,2010-8-DET,0.0,0.0,0.0,
GB-2010110711,3,0,0,20,0,4,1,0,1,8,0,1,26.0,10,12,31,2,1,4,4,0,0,8,471,2010110711,2,0,0,22,0,2,0,1,0,8,0,1,24,15,9,20,4,1,2,2,0,0,7,402,2010105409,0.36363636363636365,0.09090909090909091,0.0,26.0,471.0,4.0,1.0,0.0,24.0,4.0,9.0,1.0,25.0,8.0,10.0,38.0,5.0,5.0,534.0,0.375,0.20833333333333334,GB,DAL,2010,0.18181818181818182,0.125,11/07,2010-11/07-GB,2010-8-GB,0.0,0.0,0.0,
HOU-2010110703,1,0,0,20,0,2,3,0,0,7,0,3,28.0,14,11,29,2,0,2,3,0,0,8,516,2010110703,1,0,0,20,0,3,1,0,0,8,0,1,23,12,7,29,3,0,3,3,0,0,6,523,2010107502,0.4,0.15,0.0,28.0,516.0,0.0,0.0,0.0,22.0,2.0,7.0,2.0,21.0,16.0,9.0,25.0,2.0,2.0,436.0,0.3181818181818182,0.09090909090909091,HOU,SD,2010,0.15,0.18181818181818182,11/07,2010-11/07-HOU,2010-8-HOU,0.0,0.0,0.0,
IND-2010110709,3,0,0,22,0,3,1,0,0,10,0,1,29.0,24,6,24,5,0,9,3,0,0,8,416,2010110709,2,0,0,24,0,2,1,1,0,10,0,2,27,19,11,24,4,1,5,2,0,0,6,506,2010107507,0.4166666666666667,0.20833333333333334,0.0,29.0,416.0,2.0,0.0,0.0,24.0,2.0,10.0,1.0,25.0,21.0,9.0,23.0,7.0,2.0,396.0,0.4166666666666667,0.2916666666666667,IND,PHI,2010,0.16666666666666666,0.20833333333333334,11/07,2010-11/07-IND,2010-8-IND,0.0,0.0,0.0,
KC-2010110710,3,1,0,32,0,2,1,1,0,10,0,3,33.0,19,9,29,9,0,4,3,0,0,8,490,2010110710,1,0,0,25,0,2,1,0,0,10,0,1,29,11,7,25,6,0,4,3,0,0,7,511,2010105405,0.4,0.16,1.0,33.0,490.0,2.0,0.0,0.0,29.0,1.0,11.0,1.0,26.0,19.0,7.0,17.0,8.0,2.0,378.0,0.3793103448275862,0.27586206896551724,KC,OAK,2010,0.24,0.27586206896551724,11/07,2010-11/07-KC,2010-8-KC,0.0,0.0,0.0,
MIA-2010110701,1,0,0,18,0,1,1,1,0,9,1,1,23.0,13,7,10,3,0,5,1,0,0,8,366,2010110701,1,0,0,21,0,1,2,1,0,9,0,3,22,13,14,18,3,1,3,1,0,0,7,419,2010105401,0.42857142857142855,0.14285714285714285,0.0,23.0,366.0,3.0,0.0,0.0,24.0,2.0,11.0,2.0,27.0,15.0,11.0,22.0,7.0,2.0,479.0,0.4583333333333333,0.2916666666666667,MIA,BAL,2010,0.14285714285714285,0.125,11/07,2010-11/07-MIA,2010-8-MIA,0.0,0.0,0.0,
MIN-2010110705,2,1,0,26,0,3,2,0,0,9,0,2,33.0,12,9,33,4,1,3,4,0,0,8,616,2010110705,3,0,0,22,0,2,1,0,0,8,0,1,28,13,6,33,3,0,3,4,0,0,7,556,2010105408,0.36363636363636365,0.13636363636363635,1.0,33.0,616.0,1.0,0.0,0.0,25.0,2.0,10.0,3.0,26.0,12.0,13.0,31.0,5.0,3.0,533.0,0.4,0.2,MIN,ARI,2010,0.13636363636363635,0.2,11/07,2010-11/07-MIN,2010-8-MIN,0.0,0.0,0.0,
NE-2010110702,1,0,0,21,0,2,0,0,0,10,0,0,24.0,21,2,14,5,1,4,2,0,0,8,357,2010110702,1,0,0,21,0,2,0,0,0,8,0,1,19,15,6,21,4,1,4,2,0,0,7,346,2010105406,0.38095238095238093,0.19047619047619047,0.0,24.0,357.0,2.0,0.0,0.0,20.0,2.0,9.0,0.0,26.0,17.0,3.0,23.0,5.0,3.0,449.0,0.45,0.25,NE,CLE,2010,0.19047619047619047,0.25,11/07,2010-11/07-NE,2010-8-NE,0.0,0.0,0.0,
NO-2010110707,4,0,0,24,0,3,2,0,0,8,0,2,30.0,17,9,27,5,0,4,3,0,0,8,450,2010110707,3,0,0,22,0,2,1,0,0,7,0,1,28,15,7,25,4,1,4,3,0,0,7,488,2010105407,0.3181818181818182,0.18181818181818182,0.0,30.0,450.0,2.0,0.0,0.0,24.0,2.0,8.0,2.0,24.0,14.0,9.0,21.0,5.0,2.0,395.0,0.3333333333333333,0.20833333333333334,NO,CAR,2010,0.18181818181818182,0.20833333333333334,11/07,2010-11/07-NO,2010-8-NO,0.0,0.0,0.0,
NYG-2010110708,5,0,0,21,0,5,2,0,0,8,0,3,28.0,14,11,44,1,4,3,5,0,0,8,511,2010110708,5,1,0,25,0,4,1,0,0,8,0,2,27,13,9,40,3,2,4,5,0,0,6,542,2010104971,0.32,0.16,0.0,28.0,511.0,3.0,0.0,0.0,24.0,3.0,9.0,2.0,23.0,15.0,11.0,29.0,5.0,3.0,512.0,0.375,0.20833333333333334,NYG,SEA,2010,0.12,0.125,11/07,2010-11/07-NYG,2010-8-NYG,0.2,0.0,0.0,
NYJ-2010110700,4,1,0,27,0,2,3,0,0,13,0,3,29.0,17,11,23,7,0,4,2,0,0,8,593,2010110700,3,0,0,26,0,1,1,0,0,11,0,1,25,18,7,15,5,0,5,1,0,0,6,496,2010105171,0.4230769230769231,0.19230769230769232,1.0,29.0,593.0,2.0,0.0,0.0,28.0,2.0,11.0,1.0,26.0,16.0,7.0,27.0,5.0,3.0,564.0,0.39285714285714285,0.17857142857142858,NYJ,DET,2010,0.19230769230769232,0.25,11/07,2010-11/07-NYJ,2010-8-NYJ,0.0,0.0,0.0,
OAK-2010110710,2,0,0,33,0,2,2,2,0,14,1,3,27.0,16,15,23,6,1,8,2,0,0,8,614,2010110710,2,0,0,29,0,4,2,1,0,11,0,2,24,12,14,36,5,1,6,4,0,0,7,602,2010105410,0.3793103448275862,0.20689655172413793,0.0,27.0,614.0,2.0,0.0,0.0,25.0,1.0,11.0,2.0,25.0,20.0,10.0,19.0,6.0,2.0,518.0,0.44,0.24,OAK,KC,2010,0.1724137931034483,0.2,11/07,2010-11/07-OAK,2010-8-OAK,0.0,0.0,0.0,
PHI-2010110709,1,0,0,23,0,2,3,1,0,9,0,4,21.0,13,15,32,4,1,6,3,0,0,8,464,2010110709,2,0,0,25,0,2,2,1,0,8,1,3,24,14,14,29,3,0,5,3,0,0,6,470,2010104941,0.32,0.2,0.0,21.0,464.0,2.0,0.0,0.0,24.0,2.0,10.0,2.0,25.0,15.0,10.0,26.0,5.0,3.0,506.0,0.4166666666666667,0.20833333333333334,PHI,IND,2010,0.12,0.20833333333333334,11/07,2010-11/07-PHI,2010-8-PHI,0.0,0.0,0.0,
PIT-2010110800,4,2,0,28,0,3,1,1,1,8,1,2,20.0,9,14,27,5,2,4,3,0,0,8,412,2010110800,3,1,0,24,0,2,1,0,0,7,0,2,19,10,11,24,4,2,4,2,0,0,7,455,2010105437,0.2916666666666667,0.16666666666666666,2.0,20.0,412.0,4.0,2.0,0.0,24.0,2.0,8.0,2.0,21.0,11.0,13.0,31.0,4.0,3.0,497.0,0.3333333333333333,0.16666666666666666,PIT,CIN,2010,0.16666666666666666,0.16666666666666666,11/08,2010-11/08-PIT,2010-8-PIT,0.3333333333333333,0.0,0.0,
SD-2010110703,5,0,0,21,0,3,0,0,0,11,0,0,20.0,7,3,29,3,4,4,4,2,1,8,492,2010110703,5,1,0,22,0,2,1,0,0,10,0,1,23,11,9,27,3,2,5,3,0,0,7,560,2010105406,0.45454545454545453,0.22727272727272727,0.0,20.0,492.0,3.0,0.0,0.0,21.0,3.0,10.0,1.0,23.0,12.0,7.0,27.0,3.0,3.0,514.0,0.47619047619047616,0.14285714285714285,SD,HOU,2010,0.13636363636363635,0.14285714285714285,11/07,2010-11/07-SD,2010-8-SD,0.2,0.0,0.0,
SEA-2010110708,0,0,0,22,0,1,0,0,0,8,0,0,14.0,11,1,7,5,0,3,1,0,0,8,337,2010110708,1,0,0,25,0,0,2,0,0,9,0,3,20,16,10,13,6,0,5,0,0,0,7,370,2010105409,0.36,0.2,0.0,14.0,337.0,1.0,0.0,0.0,25.0,1.0,8.0,1.0,18.0,17.0,10.0,18.0,5.0,2.0,410.0,0.32,0.2,SEA,NYG,2010,0.24,0.2,11/07,2010-11/07-SEA,2010-8-SEA,0.0,0.0,0.0,
TB-2010110706,4,2,0,18,0,3,0,0,0,7,0,0,17.0,12,3,21,3,0,4,3,0,0,8,499,2010110706,2,0,0,20,0,2,1,0,0,9,0,1,21,12,9,23,4,0,5,2,0,0,7,514,2010105407,0.45,0.25,2.0,17.0,499.0,3.0,0.0,0.0,21.0,3.0,8.0,1.0,23.0,11.0,9.0,28.0,4.0,3.0,554.0,0.38095238095238093,0.19047619047619047,TB,ATL,2010,0.2,0.09523809523809523,11/07,2010-11/07-TB,2010-8-TB,0.0,0.0,0.0,
ARI-2010111409,1,0,0,26,0,1,1,0,0,10,0,1,28.0,22,4,18,6,0,8,2,1,1,9,565,2010111409,2,0,0,25,0,2,0,0,0,10,0,0,23,17,4,25,6,0,6,3,0,0,8,524,2010108407,0.4,0.24,0.0,28.0,565.0,2.0,0.0,0.0,24.0,3.0,9.0,2.0,25.0,16.0,11.0,31.0,6.0,3.0,578.0,0.375,0.25,ARI,SEA,2010,0.24,0.16666666666666666,11/14,2010-11/14-ARI,2010-9-ARI,0.0,0.0,0.0,
ATL-2010111100,3,0,0,19,0,2,1,0,1,8,0,2,23.0,20,10,26,5,0,5,3,1,0,9,417,2010111100,4,1,0,19,0,3,0,0,0,7,0,1,22,14,9,32,3,0,4,4,0,0,7,493,2010108068,0.3684210526315789,0.21052631578947367,0.0,23.0,417.0,2.0,0.0,0.0,21.0,2.0,9.0,1.0,24.0,15.0,11.0,23.0,6.0,2.0,472.0,0.42857142857142855,0.2857142857142857,ATL,BAL,2010,0.15789473684210525,0.14285714285714285,11/11,2010-11/11-ATL,2010-9-ATL,0.25,0.0,0.0,
BAL-2010111100,4,1,0,20,0,3,0,0,0,10,0,0,21.0,12,3,21,4,1,6,3,0,0,9,401,2010111100,2,0,0,22,0,3,2,0,0,9,0,2,23,12,11,28,3,1,4,3,0,0,7,462,2010108067,0.4090909090909091,0.18181818181818182,1.0,21.0,401.0,4.0,1.0,0.0,20.0,2.0,9.0,0.0,22.0,13.0,6.0,24.0,4.0,3.0,517.0,0.45,0.2,BAL,ATL,2010,0.13636363636363635,0.15,11/11,2010-11/11-BAL,2010-9-BAL,0.0,0.0,0.0,
BUF-2010111406,3,2,0,26,0,2,0,1,0,9,1,0,23.0,12,5,14,7,1,3,2,0,0,9,367,2010111406,2,0,0,23,0,1,0,0,0,9,1,0,26,19,4,14,5,0,5,2,0,0,8,396,2010108404,0.391304347826087,0.21739130434782608,2.0,23.0,367.0,2.0,1.0,0.0,29.0,1.0,12.0,1.0,25.0,16.0,8.0,22.0,5.0,2.0,543.0,0.41379310344827586,0.1724137931034483,BUF,DET,2010,0.21739130434782608,0.2413793103448276,11/14,2010-11/14-BUF,2010-9-BUF,0.0,0.0,0.0,
CAR-2010111405,2,0,0,22,0,1,1,2,0,8,0,3,24.0,14,12,16,5,0,3,1,0,0,9,432,2010111405,2,0,0,23,0,0,0,1,0,9,0,1,24,16,7,11,5,0,5,1,0,0,8,358,2010108405,0.391304347826087,0.21739130434782608,0.0,24.0,432.0,3.0,1.0,0.0,22.0,2.0,8.0,1.0,24.0,15.0,8.0,27.0,3.0,3.0,453.0,0.36363636363636365,0.13636363636363635,CAR,TB,2010,0.21739130434782608,0.18181818181818182,11/14,2010-11/14-CAR,2010-9-CAR,0.0,0.0,0.0,
CHI-2010111404,6,2,0,26,0,3,2,1,0,6,1,2,22.0,14,12,27,4,2,4,3,0,0,9,518,2010111404,4,1,0,25,0,2,0,0,0,9,0,0,25,14,6,20,5,1,4,2,0,0,7,446,2010108171,0.36,0.16,2.0,22.0,518.0,3.0,0.0,0.0,23.0,3.0,8.0,1.0,19.0,12.0,7.0,24.0,6.0,3.0,489.0,0.34782608695652173,0.2608695652173913,CHI,MIN,2010,0.2,0.21739130434782608,11/14,2010-11/14-CHI,2010-9-CHI,0.25,0.0,0.0,
CIN-2010111402,4,0,0,24,0,2,1,0,0,12,0,1,26.0,10,5,29,4,0,4,4,0,0,9,493,2010111402,2,0,0,24,0,2,0,0,0,10,0,0,24,17,5,21,6,0,3,3,0,0,8,441,2010108434,0.4166666666666667,0.125,0.0,26.0,493.0,2.0,0.0,0.0,22.0,2.0,10.0,2.0,23.0,13.0,9.0,28.0,4.0,3.0,485.0,0.45454545454545453,0.18181818181818182,CIN,IND,2010,0.25,0.18181818181818182,11/14,2010-11/14-CIN,2010-9-CIN,0.0,0.0,0.0,
CLE-2010111401,2,0,0,24,0,2,2,0,0,11,0,2,22.0,14,8,20,5,1,7,2,0,0,9,443,2010111401,2,0,0,21,0,2,2,0,0,8,0,2,19,9,9,23,4,1,4,2,0,0,7,401,2010108169,0.38095238095238093,0.19047619047619047,0.0,22.0,443.0,1.0,0.0,0.0,24.0,1.0,11.0,2.0,24.0,18.0,8.0,17.0,5.0,1.0,405.0,0.4583333333333333,0.20833333333333334,CLE,NYJ,2010,0.19047619047619047,0.2916666666666667,11/14,2010-11/14-CLE,2010-9-CLE,0.0,0.0,0.0,
DAL-2010111408,4,1,0,24,1,2,3,0,0,9,2,2,16.0,11,9,26,3,2,3,3,0,0,9,587,2010111408,3,0,0,23,0,1,1,0,0,10,0,1,19,13,5,20,4,1,4,2,0,0,8,514,2010108406,0.43478260869565216,0.17391304347826086,1.0,16.0,587.0,1.0,0.0,0.0,25.0,1.0,8.0,1.0,17.0,14.0,6.0,20.0,4.0,2.0,431.0,0.32,0.16,DAL,NYG,2010,0.17391304347826086,0.16,11/14,2010-11/14-DAL,2010-9-DAL,0.0,0.0,0.0,
DEN-2010111407,3,0,0,23,0,6,0,0,1,7,1,0,22.0,12,10,42,2,1,3,6,0,0,9,623,2010111407,1,0,0,24,0,3,0,0,0,10,0,0,25,14,5,26,5,0,7,3,0,0,7,506,2010105639,0.4166666666666667,0.2916666666666667,0.0,22.0,623.0,2.0,0.0,0.0,26.0,3.0,10.0,1.0,26.0,18.0,11.0,25.0,6.0,3.0,561.0,0.38461538461538464,0.23076923076923078,DEN,KC,2010,0.20833333333333334,0.19230769230769232,11/14,2010-11/14-DEN,2010-9-DEN,0.0,0.0,0.0,
DET-2010111406,0,0,0,25,0,0,1,2,0,10,1,2,30.0,23,10,12,8,0,5,1,1,0,9,575,2010111406,2,0,0,27,0,1,0,0,0,10,0,1,28,21,5,22,8,0,5,2,1,0,8,540,2010108403,0.37037037037037035,0.18518518518518517,0.0,30.0,575.0,1.0,0.0,0.0,23.0,1.0,9.0,1.0,27.0,15.0,8.0,15.0,3.0,1.0,485.0,0.391304347826087,0.13043478260869565,DET,BUF,2010,0.2962962962962963,0.2608695652173913,11/14,2010-11/14-DET,2010-9-DET,0.0,0.0,0.0,0.0
HOU-2010111403,4,0,0,19,0,3,1,0,0,10,0,1,25.0,12,6,24,4,0,7,3,0,0,9,531,2010111403,2,0,0,20,0,2,1,0,0,9,0,1,25,14,8,25,3,0,4,3,0,0,8,515,2010110735,0.45,0.2,0.0,25.0,531.0,2.0,0.0,0.0,20.0,3.0,10.0,0.0,25.0,11.0,5.0,25.0,6.0,3.0,545.0,0.5,0.3,HOU,JAC,2010,0.15,0.15,11/14,2010-11/14-HOU,2010-9-HOU,0.0,0.0,0.0,
IND-2010111402,2,1,0,23,0,1,2,1,0,9,0,3,20.0,17,11,16,7,0,6,1,0,0,9,310,2010111402,2,0,0,22,0,2,1,0,0,9,0,2,25,20,9,21,5,1,5,2,0,0,8,409,2010110737,0.4090909090909091,0.22727272727272727,1.0,20.0,310.0,3.0,1.0,0.0,25.0,1.0,9.0,3.0,21.0,13.0,14.0,21.0,4.0,1.0,392.0,0.36,0.16,IND,CIN,2010,0.22727272727272727,0.2,11/14,2010-11/14-IND,2010-9-IND,0.0,0.0,0.0,
JAC-2010111403,1,0,0,20,0,4,2,1,0,8,2,1,32.0,7,12,31,3,0,3,4,0,0,9,602,2010111403,2,0,0,21,0,3,1,0,0,9,0,1,24,10,8,30,3,0,3,4,0,0,7,514,2010105635,0.42857142857142855,0.14285714285714285,0.0,32.0,602.0,2.0,0.0,0.0,21.0,3.0,9.0,1.0,26.0,11.0,9.0,27.0,3.0,3.0,532.0,0.42857142857142855,0.14285714285714285,JAC,HOU,2010,0.14285714285714285,0.14285714285714285,11/14,2010-11/14-JAC,2010-9-JAC,0.0,0.0,0.0,
KC-2010111407,3,1,0,22,0,2,0,1,1,10,1,1,32.0,26,10,35,3,0,6,5,2,0,9,657,2010111407,2,0,0,26,0,1,1,0,0,10,0,2,31,18,9,25,6,0,4,3,0,0,8,549,2010108406,0.38461538461538464,0.15384615384615385,1.0,32.0,657.0,2.0,0.0,0.0,25.0,4.0,9.0,1.0,26.0,14.0,10.0,37.0,5.0,5.0,571.0,0.36,0.2,KC,DEN,2010,0.23076923076923078,0.16,11/14,2010-11/14-KC,2010-9-KC,0.0,0.0,0.0,
MIA-2010111400,4,1,0,24,0,2,2,1,0,10,0,3,22.0,14,12,29,3,1,8,3,1,0,9,521,2010111400,2,1,0,22,0,1,2,1,0,9,0,3,23,14,12,20,3,1,5,1,0,0,8,447,2010108401,0.4090909090909091,0.22727272727272727,1.0,22.0,521.0,4.0,1.0,0.0,25.0,2.0,9.0,3.0,23.0,15.0,12.0,29.0,6.0,3.0,514.0,0.36,0.24,MIA,TEN,2010,0.13636363636363635,0.16,11/14,2010-11/14-MIA,2010-9-MIA,0.5,0.0,0.0,
MIN-2010111404,2,1,0,25,0,1,3,0,0,10,1,2,23.0,16,9,13,4,1,4,1,0,0,9,443,2010111404,2,0,0,23,0,1,2,0,0,9,0,1,28,14,7,21,4,0,3,2,0,0,8,502,2010108405,0.391304347826087,0.13043478260869565,1.0,23.0,443.0,2.0,1.0,0.0,24.0,1.0,9.0,1.0,24.0,17.0,5.0,16.0,3.0,2.0,413.0,0.375,0.125,MIN,CHI,2010,0.17391304347826086,0.16666666666666666,11/14,2010-11/14-MIN,2010-9-MIN,0.0,0.0,0.0,
NE-2010111411,2,1,0,23,1,3,2,0,0,7,0,2,29.0,13,9,33,5,0,2,4,0,0,9,568,2010111411,1,0,0,21,0,3,0,0,0,8,0,0,23,15,5,25,5,1,4,3,0,0,8,453,2010108407,0.38095238095238093,0.19047619047619047,1.0,29.0,568.0,2.0,0.0,0.0,24.0,2.0,7.0,1.0,25.0,14.0,9.0,24.0,2.0,3.0,481.0,0.2916666666666667,0.08333333333333333,NE,PIT,2010,0.23809523809523808,0.16666666666666666,11/14,2010-11/14-NE,2010-9-NE,0.0,0.0,0.0,
NYG-2010111408,3,0,0,23,0,2,1,1,0,11,0,2,29.0,17,9,26,4,0,5,3,0,0,9,673,2010111408,5,1,0,25,0,4,1,0,0,9,0,2,28,14,11,40,2,1,5,4,0,0,7,623,2010108205,0.36,0.2,0.0,29.0,673.0,3.0,0.0,0.0,22.0,3.0,9.0,1.0,25.0,10.0,8.0,30.0,4.0,4.0,530.0,0.4090909090909091,0.18181818181818182,NYG,DAL,2010,0.08,0.13636363636363635,11/14,2010-11/14-NYG,2010-9-NYG,0.2,0.0,0.0,
NYJ-2010111401,3,0,0,25,0,2,3,2,0,9,3,2,32.0,19,16,26,3,0,3,3,0,0,9,580,2010111401,3,0,0,26,0,1,2,0,0,11,1,1,29,20,9,16,5,0,4,1,0,0,8,553,2010108402,0.4230769230769231,0.15384615384615385,0.0,32.0,580.0,2.0,0.0,0.0,22.0,2.0,9.0,1.0,28.0,19.0,7.0,23.0,4.0,3.0,500.0,0.4090909090909091,0.18181818181818182,NYJ,CLE,2010,0.19230769230769232,0.18181818181818182,11/14,2010-11/14-NYJ,2010-9-NYJ,0.0,0.0,0.0,
PHI-2010111500,4,2,0,27,0,7,0,1,0,10,0,1,23.0,8,11,52,4,1,6,7,0,0,9,660,2010111500,2,0,0,25,0,3,1,1,0,9,0,3,24,14,13,36,4,0,5,4,0,0,7,520,2010108205,0.36,0.2,2.0,23.0,660.0,3.0,0.0,0.0,29.0,3.0,10.0,0.0,27.0,15.0,5.0,32.0,6.0,4.0,539.0,0.3448275862068966,0.20689655172413793,PHI,WAS,2010,0.16,0.20689655172413793,11/15,2010-11/15-PHI,2010-9-PHI,0.0,0.0,0.0,
PIT-2010111411,1,0,0,24,0,1,2,0,0,12,1,1,29.0,22,6,32,5,0,6,4,3,2,9,624,2010111411,2,0,0,24,0,1,1,0,0,9,1,1,23,14,9,25,4,1,5,3,1,0,8,486,2010108440,0.375,0.20833333333333334,0.0,29.0,624.0,1.0,0.0,0.0,21.0,2.0,9.0,1.0,26.0,14.0,6.0,28.0,4.0,3.0,512.0,0.42857142857142855,0.19047619047619047,PIT,NE,2010,0.16666666666666666,0.19047619047619047,11/14,2010-11/14-PIT,2010-9-PIT,0.0,0.0,0.0,0.0
SEA-2010111409,3,0,0,27,0,3,5,1,0,9,1,5,28.0,16,21,36,1,4,6,3,0,0,9,567,2010111409,1,0,0,25,0,1,2,0,0,9,1,2,22,16,10,15,5,1,5,1,0,0,8,410,2010108409,0.36,0.2,0.0,28.0,567.0,2.0,0.0,0.0,26.0,3.0,10.0,2.0,27.0,12.0,13.0,33.0,5.0,3.0,572.0,0.38461538461538464,0.19230769230769232,SEA,ARI,2010,0.2,0.11538461538461539,11/14,2010-11/14-SEA,2010-9-SEA,0.0,0.0,0.0,
SF-2010111410,1,0,0,28,0,2,2,1,0,14,0,3,25.0,13,12,23,8,0,6,2,0,0,9,556,2010111410,1,0,0,26,0,2,1,0,0,11,0,2,22,12,9,20,7,0,6,2,0,0,7,487,2010105638,0.4230769230769231,0.23076923076923078,0.0,25.0,556.0,1.0,0.0,0.0,22.0,1.0,10.0,2.0,23.0,15.0,10.0,17.0,5.0,1.0,462.0,0.45454545454545453,0.22727272727272727,SF,STL,2010,0.2692307692307692,0.22727272727272727,11/14,2010-11/14-SF,2010-9-SF,0.0,0.0,0.0,
STL-2010111410,1,0,0,27,0,2,1,1,0,13,0,2,29.0,15,9,20,10,0,7,2,0,0,9,437,2010111410,1,0,0,23,0,2,1,0,0,9,0,2,24,12,9,21,6,1,4,2,0,0,7,403,2010105640,0.391304347826087,0.17391304347826086,0.0,29.0,437.0,2.0,0.0,0.0,25.0,1.0,11.0,2.0,29.0,14.0,9.0,21.0,6.0,2.0,503.0,0.44,0.24,STL,SF,2010,0.2608695652173913,0.24,11/14,2010-11/14-STL,2010-9-STL,0.0,0.0,0.0,
TB-2010111405,2,0,0,23,0,4,1,0,0,10,0,1,25.0,7,7,31,4,1,8,4,0,0,9,563,2010111405,2,0,0,22,0,3,0,0,0,9,0,0,21,9,7,27,4,0,6,3,0,0,8,532,2010108406,0.4090909090909091,0.2727272727272727,0.0,25.0,563.0,2.0,0.0,0.0,23.0,3.0,8.0,2.0,25.0,11.0,9.0,27.0,5.0,3.0,455.0,0.34782608695652173,0.21739130434782608,TB,CAR,2010,0.18181818181818182,0.17391304347826086,11/14,2010-11/14-TB,2010-9-TB,0.0,0.0,0.0,
TEN-2010111400,5,2,0,23,0,2,0,1,0,9,0,1,21.0,21,6,17,5,0,6,2,0,0,9,351,2010111400,3,1,0,24,0,2,1,0,0,9,0,1,20,19,8,23,5,0,6,2,0,0,7,419,2010105638,0.375,0.25,2.0,21.0,351.0,2.0,0.0,0.0,21.0,2.0,9.0,1.0,22.0,17.0,8.0,19.0,3.0,2.0,409.0,0.42857142857142855,0.14285714285714285,TEN,MIA,2010,0.20833333333333334,0.19047619047619047,11/14,2010-11/14-TEN,2010-9-TEN,0.3333333333333333,0.0,0.0,
WAS-2010111500,3,1,0,26,0,4,0,0,0,13,0,0,20.0,16,4,34,6,0,8,5,0,0,9,580,2010111500,2,1,0,29,0,2,0,0,0,12,0,1,22,16,6,27,7,1,6,3,0,0,7,558,2010105669,0.41379310344827586,0.20689655172413793,1.0,20.0,580.0,3.0,1.0,0.0,24.0,3.0,11.0,1.0,23.0,19.0,7.0,29.0,8.0,3.0,451.0,0.4583333333333333,0.3333333333333333,WAS,PHI,2010,0.2413793103448276,0.20833333333333334,11/15,2010-11/15-WAS,2010-9-WAS,0.5,0.0,0.0,
